Epoch,aveT,aveC,eATE,ePEHE,rjf,lcff,ly
400,0.1484217643737793,0.11328747868537903,1.0351343,1.0371735,6.724225401878357,7.4407243728637695,0.3916737
410,0.16645710170269012,0.1172100380063057,1.049247,1.051366,6.724631190299988,7.457991123199463,0.39179045
420,0.16085252165794373,0.10611166059970856,1.0547409,1.0565921,6.720997512340546,7.49688446521759,0.39152452
430,0.15320898592472076,0.10531236976385117,1.0478966,1.0495955,6.716000735759735,7.494965612888336,0.39151976
440,0.15865479409694672,0.11119160056114197,1.0474632,1.0494276,6.711985111236572,7.460704028606415,0.39161295
450,0.15279316902160645,0.11316096037626266,1.0396322,1.0415454,6.696794807910919,7.490763306617737,0.39167705
460,0.15350177884101868,0.12395253777503967,1.0295492,1.031852,6.701208233833313,7.443235278129578,0.3921664
470,0.16340477764606476,0.10602959990501404,1.0573752,1.059288,6.704129934310913,7.466350972652435,0.3915317
480,0.1651189625263214,0.11231095343828201,1.052808,1.0547972,6.698839366436005,7.46125054359436,0.39164373
490,0.16408371925354004,0.12019805610179901,1.0438857,1.046275,6.668266296386719,7.489877820014954,0.3919771
500,0.16310246288776398,0.11436464637517929,1.0487379,1.0509827,6.657248437404633,7.495015203952789,0.39171663
510,0.162942573428154,0.1142791211605072,1.0486635,1.0508808,6.647259771823883,7.444889426231384,0.39170292
520,0.16922982037067413,0.11937017738819122,1.0498596,1.0521923,6.622106730937958,7.528443217277527,0.39188156
530,0.16625085473060608,0.1181332990527153,1.0481175,1.0504204,6.619557857513428,7.516299664974213,0.39183044
540,0.15046988427639008,0.12867286801338196,1.0217971,1.024509,6.6150230169296265,7.5522191524505615,0.39240825
550,0.1510576605796814,0.12518851459026337,1.0258691,1.0287315,6.5961984395980835,7.62065190076828,0.39224672
560,0.16795456409454346,0.12366876006126404,1.0442858,1.0471524,6.58256322145462,7.725927412509918,0.39220998
570,0.18620474636554718,0.09885993599891663,1.0873448,1.089457,6.5740163922309875,7.706662118434906,0.39153036
